Acc_x,Acc_y,Acc_z
0.01589399,0.0297375,0.004780145
0.0006910375999999999,0.02797992,0.05056196
-0.01117136,0.01686021,0.01290051
-0.009349798000000001,-0.01571771,-0.02048989
-0.050143400000000005,-0.01865098,0.01346303
-0.02839624,0.02546967,0.001195901
0.06266934,0.01639662,-0.03097258
0.02949022,-0.07577226,-0.04898426
0.05453677,-0.03657164,-0.04012365
0.0932717,-0.03012121,-0.01177665
0.02919424,-0.04773843,0.007461336999999999
0.09585793,0.0026645659999999997,-0.0492054
0.03741894,0.00861394,-0.05436368
0.05615266,0.004984029,-0.04309314
0.05900268,0.02246196,-0.04670856
0.07674052,0.002188766,-0.02651315
0.045931099999999996,0.0038135029999999998,-0.02000399
0.0440858,0.04135626,-0.01473534
0.05994833,0.008395866,-0.03184455
0.02927382,0.03831692,-0.02243758
0.03536989,-0.01964485,0.01378164
0.01876452,0.0305813,-0.0022262239999999997
0.06367572,0.007090216999999999,0.0129151
-0.02993277,0.04233105,0.04568867
-0.003960535,0.06302567,0.04194761
-0.05073355,0.07104008,0.05439153
-0.01780922,0.04052618,0.05348345
-0.0002857908,0.0478052,0.02772266
0.01976501,0.03365019,0.02642358
-0.02781274,0.05605082,0.01631856
0.02612902,0.009108833,0.02614903
0.02940101,0.07018932,0.03484751
0.06227422,0.02088073,0.02340121
0.02768118,0.0036674290000000003,-0.00247019
0.05577293,-0.0246568,-0.05081804
0.0039966459999999995,-0.04207881,-0.03265893
-0.009474319,0.02401045,-0.02350812
0.02192923,-0.01327891,0.004802185
-0.05963042,0.08986347,0.03287164
-0.01250828,-0.007045904,0.01917407
0.03066398,-0.04754614,-0.02709746
-0.01853339,-0.03665619,-0.030423200000000004
-0.00970545,-0.01534167,-0.04067646
-0.01996632,-0.01311518,-0.03271477
-0.06690387,0.04634276,-0.02003025
0.002945445,-0.008896353000000001,-0.01764674
0.01182084,0.0848617,-0.01987902
-0.005856648000000001,0.11934729999999999,-0.04136108
-0.01089184,0.02411646,0.009501426
-0.0053001359999999996,-0.0249637,-0.001328833
-0.05113494,-0.10973920000000001,-0.002439865
0.04322274,-0.16208820000000002,-0.04733723
0.08386949,-0.1548971,-0.05035822
0.04519579,-0.1277222,-0.06317348
0.02351454,-0.10424280000000001,-0.07142691
-0.06597513,-0.00138041,-0.07476555
-0.03046788,-0.08635599999999999,-0.01689982
-0.06699552,-0.0019083729999999999,0.03326495
-0.05620579,0.1404971,-0.0007998496
-0.02045205,0.002221882,0.1116156
-0.07598295,-0.1330044,0.01848614
-0.006057096,-0.01290428,-0.01154682
-0.008651951,0.08142017,0.02091082
-0.04172899,0.07132887,0.04198295
-0.04265434,0.1254308,0.04845024
-0.06013039,0.2498737,0.07982911
-0.08822441,0.11724460000000002,0.1225695
0.005169277,-0.18078550000000002,-0.04151107
0.002770426,-0.20154829999999999,-0.07581282
-0.02762886,-0.1043822,-0.06225094
0.01869744,0.05092739,-0.06034531
-0.004487149,0.01990758,-0.005796653000000001
-0.04431482,-0.01428225,0.01242007
0.01862592,-0.05367544,-0.01948436
0.01376947,-0.1306501,-0.02041646
-0.003568139,-0.06109081,-0.03112706
-0.008131912,0.02574311,-0.01732005
0.01911489,0.05986944,0.03711628
0.008373496999999999,0.04837036,0.05211956
0.05847938,-0.02468973,-0.01017526
0.005051654,0.0181063,-0.02971534
0.02535842,0.03699723,-0.009084601
0.03870105,0.10416089999999999,-0.01151626
-0.01709273,0.0608548,0.05012621
0.003213718,0.05309802,0.04371278
0.05764107,-0.003109805,0.03220167
0.03763716,-0.03935458,0.003754268
0.03401706,-0.05570004,-0.04522039
0.04927909,-0.007992349000000001,-0.02324428
0.03116704,-0.0924701,0.015084799999999999
-0.04829411,-0.04218192,0.02609072
0.008122949,-0.03253943,0.003053606
0.07767814,-0.0453075,0.009829456
0.1363894,-0.09741755,-0.02656678
0.04248086,-0.1429289,-0.056713099999999995
0.01836928,-0.05475432,0.01136776
-0.1188259,0.1021831,0.09644778
-0.08851521,0.2772608,0.01611454
-0.08758408,0.30836149999999996,-0.05903532
-0.02650282,0.05499327,-0.1427382
-0.06825179,0.05601705,-0.07902558
-0.02588866,0.10875919999999999,-0.01301696
-0.02622239,0.1068491,0.07215147
0.08117631,-0.06508917,0.1077815
0.09978648,-0.10390230000000002,0.04699525
0.07842453,-0.22882470000000002,0.06464631
0.01261749,-0.251849,-0.01821546
-0.01135492,-0.288752,0.006542615
-0.01569332,-0.16826649999999999,-0.02857732
-0.01977697,-0.12628150000000002,0.03806053
0.02997345,-0.1803125,0.062065800000000004
0.04511506,-0.006246403,0.03019124
0.06380464,0.03781598,0.01453475
-0.003831808,0.07435057,0.01798098
0.0124499,0.0005674288,0.009309656999999999
0.028263,0.06385079,-0.01967831
0.04856091,0.09860311,0.01269894
0.05608155,0.1384398,0.004478017
0.08169335,0.07583541,-0.01321353
0.005981878,0.06190223,-0.004120899
0.04836778,0.06533797,-0.01519728
0.01394112,0.01649851,-0.0361218
-0.01335401,0.043707199999999995,-0.02507413
-0.06799921,-0.004500792,0.01174645
-0.03930775,-0.02460477,0.02580556
-0.06042838,-0.02955214,0.002629087
0.01624324,-0.07198348,-0.02459928
-0.04200623,-0.08028356,-0.01623837
-0.02648635,-0.03499475,-0.03511525
-0.009009765,0.00178561,0.01192835
0.01250766,0.06233545,0.008201684
0.01109478,0.02649125,0.03461901
0.0142281,0.02717361,0.05382322
0.02319587,0.04731799,0.04359942
0.03610529,-0.04972215,0.05154126
-0.0068501740000000005,-0.08625366,0.07990211
0.0140659,-0.04901912,0.04326106
-0.02107843,0.01353399,0.03835906
0.03366417,-0.0029056359999999996,0.03156444
0.00729656,0.02901586,0.01286413
0.01275769,0.02936137,-0.02845627
0.06103709,-0.03547384,-0.05364551
0.0208735,0.02744765,-0.06695611
0.05069176,0.006729581,-0.04407827
0.06544492,0.06876317,-0.05848458
0.07416695,0.09446087,-0.04484407
-0.01991663,0.02352641,-0.006355908
-0.0077903619999999995,0.03390226,-0.04912744
0.01554532,0.05305972,-0.07432234
-0.03226361,0.03609844,-0.03556021
-0.06363743,0.02163266,-0.007732052
-0.05254519,0.0107368,-0.01869009
-0.02973801,-0.06557155,-0.01604746
-0.02754883,-0.05229281,-0.02414071
0.007277016999999999,-0.04303334,-0.007047419
-0.02586302,-0.04686334,0.0015482170000000002
-0.02499349,0.009421818,0.03459173
-0.02468499,0.1011135,0.003174047
0.01228267,0.01437561,0.02400647
0.005425615,0.03124837,0.007534616
-0.01410921,-0.009870897,-8.799042999999999e-05
0.0004691682,-0.08464634,0.02799496
0.02857575,-0.03185039,-0.02032242
-0.02836619,-0.006611109,-0.00191824
0.03685724,-0.00702597,0.0049051120000000005
-0.06707616,0.0365248,0.0189261
-0.05185159,0.03790259,0.007702484
-0.05205141,0.0001060739,0.002095114
-0.04945154,0.009591723,-0.01612962
-0.05196714,0.05265867,-0.01052652
-0.04622694,0.03699049,-0.0054347580000000005
-0.03053273,-0.02816236,0.02906573
-0.0166452,0.004040714,0.013693100000000001
-0.01486602,0.039492400000000004,0.01890429
-0.07655652,-0.002276903,0.04426519
-0.10604360000000002,-0.05817511,-0.01014453
-0.1080569,-0.009579863000000001,-0.005472485
-0.03452807,-0.03436337,-0.002100975
-0.04416925,-0.02008089,0.01449246
-0.07102514,-0.03078415,0.05378683
-0.06613646,-0.009794879,0.05693464
-0.04581508,-0.08876945,0.01995231
-0.0289637,-0.05949826,0.006062916999999999
-0.01941484,-0.03622251,-0.01204925
0.0027273909999999996,-0.01938027,0.00461578
0.01453685,0.01502847,-0.0035046820000000003
0.038156699999999995,-0.003964368,-0.0179667
0.01282334,-0.02407015,-0.02240111
0.03826014,0.01125371,-0.04732513
0.1034221,-0.02799603,-0.05407616
0.0233627,-0.02622481,-0.04115295
0.06106963,0.02779451,-0.008840652
0.09079758,0.03718928,-0.02960892
0.1469457,0.01079052,-0.02171432
0.08249287,0.02157691,0.0004345737
0.04787399,0.04743172,-0.01747857
0.04001207,-0.009574592,-0.02760306
0.04225925,0.02916227,-0.02714066
0.02831644,0.009194189,-0.03284674
-0.01284219,0.03956734,-0.004502107
0.007076314,0.07240701,-0.007184613
0.0032772340000000004,0.02873103,0.01553113
0.002984534,-0.03372978,-0.005188901
0.01459534,-0.04170136,-2.157059e-05
-0.03055058,0.0006188433999999999,0.01065983
-0.01130845,0.01421724,0.01135671
-0.02310313,-0.02668035,0.03473564
0.003370365,0.002804446,0.0062575109999999995
-0.006232196,-0.02228159,-0.04119586
