ID,file,Time_s_,Acc_x,Acc_y,Acc_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z
AS_M_1,3-1,0.5010242,0.01132828,-0.05020643,0.01999609,-0.0001841998,0.002506319,-0.0001627646,0.02170686,2.134113,-0.3463616
AS_M_1,3-1,0.5145817,-0.007477132,-0.01044569,0.02285095,-0.0005147674,0.002276313,-2.658849E-05,0.02166083,2.134126,-0.3463533
AS_M_1,3-1,0.5342255,-0.006075957,0.01808113,0.02794416,-0.0003837036,0.002585225,5.783429E-05,0.02166144,2.134178,-0.3463428
AS_M_1,3-1,0.5441656,0.007217139,0.01330809,-0.01659284,-8.971917E-05,0.00269628,4.993419E-05,0.02168722,2.134219,-0.3463464
AS_M_1,3-1,0.5565205,0.0004853758,-0.007502468,-0.008646918,3.268882E-05,0.002741811,-0.0001414882,0.02169257,2.134269,-0.3463664
AS_M_1,3-1,0.570466,0.001030852,-0.07626036,-0.001504294,0.0001524273,0.002142162,-0.0002908036,0.02168195,2.134271,-0.346377
AS_M_1,3-1,0.5901089,-0.007800691,-0.01741564,-0.0009601029,0.0003206871,0.001162001,-0.0007631569,0.02167436,2.134245,-0.3464088
AS_M_1,3-1,0.5999279,0.04520567,0.01069154,-0.01119342,0.0006024304,0.001160145,-0.0008227262,0.02171243,2.134239,-0.3464217
AS_M_1,3-1,0.6119909,0.03463587,0.06313401,-0.001598619,0.001124355,0.001379379,-0.0007991188,0.02175966,2.13427,-0.3464336
AS_M_1,3-1,0.6259651,0.03764309,0.003000628,0.01767929,0.001685988,0.002327078,-0.0007834892,0.02180203,2.134359,-0.3464349
AS_M_1,3-1,0.6456671,0.0820163,0.01166889,-0.009538153,0.002409273,0.00258573,-0.0002607111,0.0218497,2.134416,-0.3463955
AS_M_1,3-1,0.6555367,-0.01572193,-0.01603036,0.04466444,0.002879936,0.002678443,-0.0001608936,0.02188259,2.134455,-0.3463636
AS_M_1,3-1,0.6681213,0.0430701,0.007450094,0.02352352,0.003239359,0.002690002,0.0002402223,0.02197826,2.134502,-0.3463576
AS_M_1,3-1,0.6818619,0.04660795,-0.05653487,0.0161998,0.003524288,0.002702127,0.0007013353,0.02204695,2.13454,-0.346319
AS_M_1,3-1,0.70117,-0.04337258,-0.007378463,0.1173907,0.003437823,0.002053829,0.001960176,0.02207015,2.13454,-0.3462445
AS_M_1,3-1,0.7111874,0.06246519,0.009506777,0.05040464,0.003326838,0.002383609,0.002699636,0.02212704,2.134573,-0.3461839
AS_M_1,3-1,0.7236176,-0.04379958,0.1191902,0.128676,0.003204947,0.00345966,0.00391081,0.02213744,2.13467,-0.3460576
AS_M_1,3-1,0.7373886,-0.008196868,0.05282733,0.09731364,0.003318484,0.005089994,0.004797236,0.02221092,2.134816,-0.3459603
AS_M_1,3-1,0.7575951,0.01098631,0.001915401,0.09034902,0.003424536,0.005874159,0.006715063,0.02224056,2.134981,-0.3457965
AS_M_1,3-1,0.7670183,0.04038159,0.02289395,0.03676698,0.003533024,0.006320355,0.007282156,0.02228875,2.135092,-0.3456795
AS_M_1,3-1,0.7793417,-0.03334471,0.1333337,0.1475332,0.003323371,0.006837644,0.008590856,0.02228865,2.135193,-0.3454822
AS_M_1,3-1,0.7933235,-0.001004277,0.06999493,0.07198241,0.00369075,0.007977454,0.01029121,0.02238096,2.135335,-0.3452404
AS_M_1,3-1,0.8126354,0.04777953,0.01102732,0.06728063,0.004520764,0.01057647,0.01039604,0.02249015,2.135822,-0.3450673
AS_M_1,3-1,0.822794,0.0008265749,-0.0158634,0.1395882,0.004340824,0.01040206,0.01156348,0.02251213,2.135965,-0.3447997
AS_M_1,3-1,0.8348932,0.08837495,-0.09304225,0.07378509,0.004575188,0.00943274,0.0136674,0.02264075,2.136047,-0.3446228
AS_M_1,3-1,0.8489485,0.1019373,-0.187065,-0.03739471,0.004906259,0.009061628,0.01305858,0.02283871,2.135772,-0.3445649
AS_M_1,3-1,0.8685055,0.2641802,-0.3950845,-0.1208818,0.008790169,0.005496493,0.009376613,0.0229693,2.136068,-0.3445863
AS_M_1,3-1,0.8784523,0.2647778,-0.3700298,-0.1026079,0.01139376,0.001916437,0.008083701,0.02323988,2.135961,-0.3445385
AS_M_1,3-1,0.890686,0.2309975,-0.2892033,-0.1351811,0.01442135,-0.002436393,0.006920551,0.02399836,2.134868,-0.3445151
AS_M_1,3-1,0.9044991,0.1371573,0.01316297,-0.1173405,0.01666033,-0.004739402,0.005569745,0.02420321,2.135195,-0.344541
AS_M_1,3-1,0.9241199,-0.02686934,0.1725198,-0.3136118,0.01899071,-0.002465007,0.001024069,0.02425566,2.135519,-0.3448685
AS_M_1,3-1,0.9341211,-0.1347521,0.02325155,-0.231702,0.01859325,-0.001345039,-0.001492196,0.02434212,2.135379,-0.3449287
AS_M_1,3-1,0.9461374,-0.2040748,-0.1225122,-0.1926129,0.01656246,-0.002468284,-0.004435627,0.02433656,2.135179,-0.3450753
AS_M_1,3-1,0.960144,-0.2274818,-0.1419656,-0.1071577,0.01371697,-0.004949972,-0.00572352,0.02430138,2.135103,-0.3451746
