"ID","file","Time_s_","Acc_x","Acc_y","Acc_z","Velo_x","Velo_y","Velo_z","Pos_x","Pos_y","Pos_z"
"AS_F_1","9-1",0.5054164,-0.01751859,-0.1289566,0.05894784,-0.006426849,0.004689341,-0.006631118,-0.009524822,1.606215,0.04622376
"AS_F_1","9-1",0.524581,0.0003168592,-0.07010385,0.05293304,-0.006631418,0.003078601,-0.00569303,-0.009620906,1.60618,0.04618084
"AS_F_1","9-1",0.5345464,0.06046588,-0.1130506,0.04790351,-0.006164863,0.002309346,-0.005113063,-0.009685754,1.606175,0.04613817
"AS_F_1","9-1",0.5470123,0.02858808,-0.04937673,0.06270556,-0.005703942,0.001408532,-0.004200577,-0.009763955,1.606166,0.04613066
"AS_F_1","9-1",0.5604401,0.08405166,-0.04680253,0.07256731,-0.004877353,0.001083016,-0.003198156,-0.009771824,1.606168,0.04614377
"AS_F_1","9-1",0.5802817,0.1190574,-0.01611377,0.08735805,-0.003407637,0.0006730746,-0.00128203,-0.009747029,1.606172,0.04623425
"AS_F_1","9-1",0.5899181,0.09305242,0.02368531,0.06676993,-0.002394538,0.0009156749,-0.0006581038,-0.009737254,1.60621,0.04624116
"AS_F_1","9-1",0.6022668,0.09278037,0.1231597,0.01660902,-0.001308484,0.001636352,0.0002318291,-0.009711742,1.606279,0.04627991
"AS_F_1","9-1",0.616034,0.09779084,0.08418247,0.06251103,0.0003169784,0.002962577,0.001117518,-0.009629965,1.606384,0.04635549
"AS_F_1","9-1",0.6365447,0.1021748,-0.02042548,0.01832356,0.001884934,0.003572585,0.002201304,-0.009498836,1.606492,0.04646397
"AS_F_1","9-1",0.645421,0.08226092,0.0290706,-0.01452436,0.00282962,0.003800604,0.00248698,-0.009401798,1.606598,0.04651868
"AS_F_1","9-1",0.6578088,0.07052131,-0.0163962,-0.04625111,0.003903243,0.003968521,0.002090823,-0.009297372,1.606645,0.04652655
"AS_F_1","9-1",0.6717381,0.05389423,-0.1032317,-0.003818538,0.004404629,0.003623532,0.001680107,-0.00922513,1.606673,0.04652035
"AS_F_1","9-1",0.6914401,0.02394754,0.001226489,-0.07645187,0.004899239,0.003095714,0.0008025478,-0.009141921,1.606744,0.04645956
"AS_F_1","9-1",0.7010837,0.03416191,-0.03442498,-0.03912992,0.005124178,0.003084718,0.0004611627,-0.009066583,1.606781,0.04647076
"AS_F_1","9-1",0.7133613,0.0372914,0.05073749,-0.03533338,0.005415265,0.003422312,0.0001067807,-0.008975744,1.60687,0.04645073
"AS_F_1","9-1",0.7275553,0.01067938,0.1105524,-0.01083671,0.005664798,0.004561038,2.163157E-05,-0.00889325,1.60699,0.04644406
"AS_F_1","9-1",0.750021,-0.04717877,0.09311303,0.06407045,0.005445192,0.007458785,0.0007373234,-0.008831023,1.607218,0.04648745
"AS_F_1","9-1",0.7576513,-0.01548189,0.08456862,0.01873962,0.005437282,0.008161169,0.0009870331,-0.008733034,1.607363,0.046507
"AS_F_1","9-1",0.7690482,0.02247205,-0.03919259,0.01910348,0.005196527,0.008564841,0.001430295,-0.008659841,1.607511,0.04655015
"AS_F_1","9-1",0.7827497,-0.06636873,-0.1014786,0.02910116,0.004724586,0.008261561,0.001652286,-0.008640288,1.607653,0.04658973
