"ID","file","Time_s_","Acc_x","Acc_y","Acc_z","Velo_x","Velo_y","Velo_z","Pos_x","Pos_y","Pos_z"
"AS_M_2","6-1",0.8107014,-0.04972226,-0.04127036,-0.03966427,-0.001826279,0.001739173,-0.001876791,-0.1562406,1.743169,-0.3304741
"AS_M_2","6-1",0.8206663,-0.04581906,-0.04367051,-0.03794952,-0.002219578,0.001365481,-0.002190681,-0.1562862,1.743172,-0.3305221
"AS_M_2","6-1",0.8322697,-0.05795944,-0.07389536,-0.01627337,-0.002486192,0.001201264,-0.002683778,-0.1563271,1.743181,-0.3305872
"AS_M_2","6-1",0.846652,-0.021086,-0.07046777,-0.04564411,-0.003109873,0.000847305,-0.003147243,-0.1563991,1.743181,-0.3306594
"AS_M_2","6-1",0.8622503,-0.005149402,-0.03043954,-0.05153925,-0.003773008,0.0005115463,-0.003599196,-0.1565042,1.743193,-0.3307467
"AS_M_2","6-1",0.8800125,-0.02864263,0.02003695,-0.007065016,-0.003873484,0.000571551,-0.003955486,-0.1565809,1.74322,-0.3308319
"AS_M_2","6-1",0.8880243,0.02589314,0.02961305,-0.03365296,-0.004147267,0.001170183,-0.00418527,-0.1566337,1.743266,-0.3309149
"AS_M_2","6-1",0.9019785,-0.01432959,0.04865929,-0.02532721,-0.00430561,0.001825552,-0.004428476,-0.1567165,1.743341,-0.3309785
"AS_M_2","6-1",0.9179401,-0.005717231,0.01578974,-0.001162763,-0.004320435,0.002586826,-0.004958021,-0.1567611,1.743413,-0.3310729
"AS_M_2","6-1",0.9316492,-0.03812229,0.007035032,0.03882169,-0.004412319,0.003000828,-0.004991153,-0.1568369,1.743486,-0.3311404
"AS_M_2","6-1",0.9479265,-0.03464236,0.05599725,0.03065675,-0.004266607,0.003703951,-0.00481235,-0.156878,1.743588,-0.3312143
"AS_M_2","6-1",0.9576807,-0.0002426282,0.0243723,0.06236471,-0.004034218,0.004195537,-0.004649148,-0.156914,1.743661,-0.331264
"AS_M_2","6-1",0.9737759,0.01993758,0.02661404,-0.006757922,-0.003943958,0.004796086,-0.00426787,-0.1569514,1.743811,-0.331336
"AS_M_2","6-1",0.9877424,-0.02218913,0.03167407,0.02202659,-0.003737868,0.004934746,-0.004072517,-0.1570085,1.743908,-0.3313801
"AS_M_2","6-1",0.9993486,0.03983618,-0.02358055,0.01398077,-0.003559813,0.004933525,-0.003655954,-0.1570359,1.743975,-0.3314107
"AS_M_2","6-1",1.01677,0.01328977,-0.0511677,0.01480988,-0.003167189,0.00486913,-0.003506896,-0.1570539,1.744051,-0.3314567
"AS_M_2","6-1",1.034648,0.08653209,-0.1250732,-0.0008483715,-0.002628497,0.003638538,-0.003205386,-0.1570327,1.74406,-0.331484
"AS_M_2","6-1",1.043215,0.02333254,-0.1389519,0.01426803,-0.002339744,0.002669509,-0.003063964,-0.1570581,1.744061,-0.331507
"AS_M_2","6-1",1.055259,0.02457943,-0.1282695,0.03983956,-0.001987314,0.001300698,-0.003026871,-0.1570612,1.744006,-0.3315485
"AS_M_2","6-1",1.069297,0.01783904,-0.05876277,0.01992656,-0.001883962,0.0002611355,-0.002880225,-0.1570919,1.743967,-0.3315917
"AS_M_2","6-1",1.089503,0.0001598378,-0.04064298,0.003564981,-0.001532267,-0.0003082468,-0.002651818,-0.157097,1.743945,-0.3316266
"AS_M_2","6-1",1.098943,0.006974277,-0.0493843,-0.003777278,-0.00150379,-0.0004940424,-0.002617384,-0.1571056,1.743931,-0.3316607
"AS_M_2","6-1",1.110738,-0.00702667,-0.08839063,0.03007155,-0.001300009,-0.0008932233,-0.002864267,-0.1571002,1.743899,-0.3317123
"AS_M_2","6-1",1.124995,-0.005584153,-0.05017621,-0.01032597,-0.001519464,-0.001440113,-0.003027342,-0.1571243,1.743863,-0.3317645
"AS_M_2","6-1",1.140994,-0.02049727,-0.03462183,-0.03079101,-0.00160998,-0.002341001,-0.003392732,-0.1571484,1.743799,-0.3318344
"AS_M_2","6-1",1.158898,-0.02898689,-0.03353839,-0.01424697,-0.001758136,-0.003182721,-0.003621376,-0.1571753,1.743725,-0.3319023
"AS_M_2","6-1",1.166466,-0.05914896,0.007192638,-0.01676789,-0.002111769,-0.003461087,-0.003705834,-0.1572165,1.743671,-0.331966
"AS_M_2","6-1",1.180467,-0.05839463,0.005349826,0.009832731,-0.002874991,-0.003387637,-0.003596464,-0.1572868,1.743637,-0.3320218
"AS_M_2","6-1",1.197241,0.04648869,0.05618244,-0.01403466,-0.003436398,-0.002448955,-0.003457286,-0.1573601,1.743659,-0.332076
"AS_M_2","6-1",1.214272,0.08298115,0.004871876,0.00855786,-0.002735218,-0.001469416,-0.003414784,-0.1573993,1.743698,-0.3321092
"AS_M_2","6-1",1.222427,0.05207729,-0.0002809186,0.02129449,-0.001817849,-0.0009391433,-0.003446627,-0.157398,1.74375,-0.3321607
"AS_M_2","6-1",1.236429,0.1094543,-0.05467944,-0.01499651,-0.0009890054,-0.001045956,-0.003198389,-0.157338,1.743739,-0.3321983
"AS_M_2","6-1",1.252203,0.0661712,-0.03592481,0.01972948,0.0001569423,-0.001215548,-0.002816165,-0.1572678,1.743731,-0.332218
"AS_M_2","6-1",1.265951,0.008893417,-0.06964278,0.02759265,0.000693711,-0.001480229,-0.002747924,-0.1572449,1.743716,-0.3322572
"AS_M_2","6-1",1.282295,0.02033842,-0.03225873,0.03883036,0.001216694,-0.001924064,-0.002610673,-0.1572187,1.743685,-0.3322908
"AS_M_2","6-1",1.291839,0.03383488,0.007668629,-0.005324096,0.001452764,-0.001846278,-0.002497518,-0.157179,1.743663,-0.3323157
"AS_M_2","6-1",1.308081,0.0459711,0.03456306,-0.03780339,0.001968257,-0.001148465,-0.002300409,-0.1571112,1.743679,-0.332329
"AS_M_2","6-1",1.321725,0.06547029,-0.06542799,0.03964776,0.002642339,-0.0007685514,-0.002452323,-0.1570405,1.743691,-0.3323815
"AS_M_2","6-1",1.333729,0.01653907,-0.07514666,0.04007994,0.003298406,-0.001192602,-0.002076476,-0.1569691,1.743665,-0.3324152
"AS_M_2","6-1",1.347378,0.03117335,-0.0390644,-0.04796791,0.004029152,-0.002093473,-0.001644393,-0.156898,1.743628,-0.3324495
"AS_M_2","6-1",1.363597,-0.008700917,0.1166719,0.06964239,0.004440723,-0.001892706,-0.001357523,-0.1567981,1.743589,-0.3324373
"AS_M_2","6-1",1.377332,0.008957941,0.1215085,0.01290085,0.0041546,-0.0001298546,-0.0006309433,-0.1567509,1.743698,-0.3324144
"AS_M_2","6-1",1.393539,0.02547079,-0.1225356,0.01941079,0.004147348,0.0002699983,-0.0003374344,-0.1567131,1.743753,-0.3324062
"AS_M_2","6-1",1.403243,-0.002270219,-0.1413147,-0.03148717,0.004106727,-0.0004021943,-0.000459329,-0.1566851,1.743758,-0.3324304
"AS_M_2","6-1",1.419337,-0.04809703,0.008602213,-0.02292008,0.003474548,-0.001356368,-0.0005989501,-0.1566658,1.74368,-0.3324392
"AS_M_2","6-1",1.433259,-0.05230622,0.1609959,0.05602675,0.00282903,-0.0001738415,-0.0001430344,-0.1566575,1.743739,-0.3323995
"AS_M_2","6-1",1.449308,-0.01662302,0.1128943,0.06469864,0.00199086,0.00210283,0.0007488095,-0.1566641,1.743896,-0.3323388
"AS_M_2","6-1",1.458769,-0.05507655,0.1686477,0.04621125,0.001505177,0.003794275,0.00125673,-0.1566677,1.744027,-0.3322866
"AS_M_2","6-1",1.475034,-0.05265415,-0.04741961,0.08576942,0.0006958957,0.005302074,0.00246295,-0.156677,1.744199,-0.332211
"AS_M_2","6-1",1.488667,-0.02475473,-0.1302074,0.03246242,-1.030462E-05,0.004415309,0.003141977,-0.1567173,1.744284,-0.3321516
"AS_M_2","6-1",1.504964,-0.04370564,-0.1455055,0.00789324,-0.0009897158,0.002282062,0.003605324,-0.1567819,1.74421,-0.3320272
"AS_M_2","6-1",1.514286,-0.02727626,-0.1398529,-0.003546724,-0.001478246,0.001336568,0.003582364,-0.1568236,1.744188,-0.3319626
"AS_M_2","6-1",1.530624,-0.003980576,-0.1061587,0.001547692,-0.001998487,-0.0002318105,0.00353809,-0.1568885,1.744136,-0.3319215
"AS_M_2","6-1",1.544426,-0.03470293,-0.009183703,0.01863165,-0.002393362,-0.0008317971,0.003658539,-0.1569519,1.744117,-0.3318704
"AS_M_2","6-1",1.55974,0.002552837,-0.05697712,0.0006971207,-0.00247925,-0.001264449,0.003851516,-0.156985,1.744091,-0.3318077
"AS_M_2","6-1",1.570213,-0.005272859,-0.06432532,0.03017188,-0.002654386,-0.001917525,0.00398202,-0.1570179,1.744044,-0.3317463
"AS_M_2","6-1",1.590496,0.02496677,0.1142614,-0.02079845,-0.002652861,-0.00164461,0.003766766,-0.1570467,1.744055,-0.3317037
"AS_M_2","6-1",1.599882,0.009714272,-0.03265426,-0.001673363,-0.002401453,-0.001268685,0.003848356,-0.1570742,1.744072,-0.3316457
"AS_M_2","6-1",1.611834,-0.02946896,-0.06417915,-0.011458,-0.00224124,-0.001453971,0.003526263,-0.1571062,1.744063,-0.3316113
"AS_M_2","6-1",1.626135,-0.05152925,-0.03070077,-0.06193148,-0.002745904,-0.001988197,0.00294611,-0.1571565,1.744013,-0.3315904
"AS_M_2","6-1",1.645566,-0.07368231,0.04289307,-0.01739948,-0.003165466,-0.002068026,0.002061582,-0.1571898,1.743978,-0.3315881
"AS_M_2","6-1",1.65557,0.02183064,0.03557824,-0.06641763,-0.003354623,-0.001438747,0.001773029,-0.157244,1.743991,-0.3315809
"AS_M_2","6-1",1.672305,0.01100624,0.04396132,-0.07614794,-0.003387915,-0.0005439892,0.0008919024,-0.1572998,1.744033,-0.331626
"AS_M_2","6-1",1.681396,-0.02386091,0.04707171,-0.04674424,-0.003395173,-0.0002929932,0.0003780188,-0.1573528,1.744044,-0.3316541
"AS_M_2","6-1",1.697771,-0.03619354,-0.008881409,-0.05842424,-0.003715103,0.0001269853,-0.0006503176,-0.1574082,1.744069,-0.3316996
"AS_M_2","6-1",1.711658,0.03064692,-0.0003993325,-0.07912675,-0.004133958,0.0003017474,-0.001199491,-0.1574752,1.744081,-0.3317317
"AS_M_2","6-1",1.727191,0.02396408,-0.01576046,-0.1015955,-0.003951565,0.0005276005,-0.002034143,-0.157522,1.74411,-0.3317994
"AS_M_2","6-1",1.737495,0.0065466,-0.01086905,-0.06238135,-0.003909105,0.0004808325,-0.002718118,-0.1575949,1.744145,-0.3318757
"AS_M_2","6-1",1.757514,0.02336159,-0.07626854,-0.08165266,-0.00374163,-0.0005860738,-0.00409699,-0.1576418,1.744109,-0.3320054
"AS_M_2","6-1",1.766848,0.01696663,-0.04590911,-0.04375733,-0.00354228,-0.0008684441,-0.00466756,-0.1576736,1.744086,-0.3321007
"AS_M_2","6-1",1.778887,0.009305155,0.01156729,-0.05549443,-0.003451852,-0.0008569726,-0.005213116,-0.1577071,1.744076,-0.3322051
"AS_M_2","6-1",1.792973,-0.00592538,0.03700177,-0.004230823,-0.003366821,-0.0002422585,-0.005573988,-0.1577567,1.744128,-0.3323177
