"ID","file","Time_s_","Acc_x","Acc_y","Acc_z","Velo_x","Velo_y","Velo_z","Pos_x","Pos_y","Pos_z"
"ME_F_2","13-1",0.2127028,0.06845766,-0.01019023,0.005688593,-0.006615952,0.00331667,-0.0009708933,-0.0572649,1.627062,0.02501429
"ME_F_2","13-1",0.2251148,0.09373318,0.0264102,-0.01933816,-0.005995597,0.003159932,-0.001225008,-0.05729744,1.627132,0.02499798
"ME_F_2","13-1",0.2389145,0.02494895,-0.05625495,0.01138447,-0.005089028,0.003026688,-0.00116592,-0.0573287,1.627154,0.02500945
"ME_F_2","13-1",0.2552748,0.04558855,-0.0344922,-0.02064532,-0.003793788,0.002918287,-0.001250823,-0.05730234,1.627221,0.02499447
"ME_F_2","13-1",0.2688913,0.04272753,0.09436674,0.02296235,-0.003240323,0.003317246,-0.001400282,-0.05730851,1.627312,0.02498755
"ME_F_2","13-1",0.2809381,0.02217072,0.0118873,0.004135063,-0.002716864,0.004407946,-0.001488857,-0.05732394,1.627399,0.02495287
"ME_F_2","13-1",0.2947836,0.0203039,0.03342009,-0.05407728,-0.002630716,0.004832061,-0.002038171,-0.05732881,1.627531,0.02488848
"ME_F_2","13-1",0.3111868,0.009008627,-0.01403836,-0.02534066,-0.002497409,0.004889213,-0.002188514,-0.05735626,1.627635,0.02487667
"ME_F_2","13-1",0.3245001,0.001582474,-0.1473026,0.0004166985,-0.002385057,0.004095185,-0.002372447,-0.05739416,1.627657,0.02485118
"ME_F_2","13-1",0.3369226,0.02994535,-0.2406676,-0.02870305,-0.002001717,0.002324993,-0.002050498,-0.05738645,1.627633,0.02483435
"ME_F_2","13-1",0.3544283,0.03223257,-0.2684349,0.02760861,-0.001198007,-0.0006415044,-0.001865651,-0.05736562,1.627438,0.02482523
"ME_F_2","13-1",0.3663588,0.04883676,-0.2022799,-0.01326506,-0.0005478404,-0.004088408,-0.001380275,-0.05730438,1.62727,0.02483657
"ME_F_2","13-1",0.3800535,0.03924871,-0.1072176,0.02016942,0.0002182248,-0.006239017,-0.001415868,-0.05725984,1.627083,0.02482222
"ME_F_2","13-1",0.3923988,0.01495851,-0.02861935,0.04435767,0.0003905712,-0.007157064,-0.001430572,-0.05724297,1.626938,0.02478341
"ME_F_2","13-1",0.4063358,0.03882627,0.03529309,0.01114649,0.000679992,-0.007062132,-0.001166657,-0.0572222,1.626843,0.02476126
"ME_F_2","13-1",0.4260607,0.04675178,0.08951345,-0.02401831,0.001133487,-0.006157848,-0.0009336778,-0.05718758,1.626823,0.02477594
"ME_F_2","13-1",0.4356356,0.03358864,0.05177271,-0.01443705,0.001316368,-0.005467516,-0.001034617,-0.05716415,1.626774,0.02477129
"ME_F_2","13-1",0.4479265,0.02020156,0.07811257,0.00100069,0.001898652,-0.004098933,-0.0008989106,-0.05709525,1.626813,0.02478625
"ME_F_2","13-1",0.461731,0.07567406,0.0531981,-0.03357659,0.002401993,-0.002958006,-0.0008958926,-0.05702068,1.626859,0.02478387
"ME_F_2","13-1",0.4778252,0.07454206,0.1337729,-0.03143761,0.003440108,-0.001208489,-0.001395627,-0.05690989,1.626954,0.02475966
"ME_F_2","13-1",0.4916477,0.03155033,0.1319746,0.004351265,0.003985208,0.0002183537,-0.001958587,-0.05683852,1.626995,0.02471399
"ME_F_2","13-1",0.5035105,0.04403241,0.0897566,0.02433973,0.004371256,0.001678401,-0.002077196,-0.05676139,1.62711,0.02466569
"ME_F_2","13-1",0.51754,0.0268371,0.05117632,-0.0286493,0.004817831,0.002961298,-0.001961475,-0.05667911,1.627248,0.02464237
"ME_F_2","13-1",0.5376005,0.02999725,-0.009718545,0.03360054,0.005350852,0.003571183,-0.001821721,-0.0565995,1.627329,0.02464124
"ME_F_2","13-1",0.5471783,0.08127952,-0.05942398,0.04585807,0.006028329,0.003175601,-0.001689636,-0.05648287,1.627384,0.02461381
"ME_F_2","13-1",0.5590067,0.07433473,-0.1820988,0.03223248,0.006897146,0.001985956,-0.00130755,-0.05634898,1.627362,0.02460747
"ME_F_2","13-1",0.5731258,0.05867897,-0.206538,-0.02203561,0.008017294,-6.851973E-06,-0.0005189113,-0.05616042,1.627307,0.02463205
"ME_F_2","13-1",0.5892439,-0.02719698,-0.03446355,0.04536931,0.008423297,-0.002266581,9.177276E-05,-0.05602546,1.627153,0.02469603
"ME_F_2","13-1",0.6028252,-0.121567,-0.05386168,0.09582159,0.007247619,-0.002883029,0.000507777,-0.0560097,1.627025,0.02471413
"ME_F_2","13-1",0.6153164,-0.1395068,-0.01795782,0.07808379,0.00566407,-0.00263055,0.00110743,-0.05600834,1.627019,0.02474975
