"ID","file","Time_s_","Acc_x","Acc_y","Acc_z","Velo_x","Velo_y","Velo_z","Pos_x","Pos_y","Pos_z"
"ME_F_3","14-1",0.7011623,-0.001380635,-0.0612249,-0.02606767,-0.003980772,-6.971118E-05,-0.0007292068,-2.28292,1.699841,-1.936758
"ME_F_3","14-1",0.7146912,-0.003835527,-0.04784865,0.0004542033,-0.003781951,-0.0008057711,-0.0007109311,-2.28296,1.699768,-1.936764
"ME_F_3","14-1",0.7309036,-0.004011587,-0.007656257,0.03297028,-0.003643414,-0.001531283,-0.000117513,-2.283009,1.699721,-1.936731
"ME_F_3","14-1",0.7407131,0.02023598,-0.1006269,0.01786515,-0.003643099,-0.001787622,0.0003176935,-2.283065,1.699715,-1.936679
"ME_F_3","14-1",0.7567892,0.04230876,-0.06274796,-0.008876212,-0.003155663,-0.002362758,0.0003958785,-2.283094,1.699737,-1.93665
"ME_F_3","14-1",0.7743797,0.06351949,0.002398888,0.00917346,-0.00262109,-0.002679135,0.0005920836,-2.283103,1.699663,-1.936625
"ME_F_3","14-1",0.7825117,0.06549115,-0.01686291,0.01567733,-0.002071426,-0.002880029,0.0008270429,-2.283116,1.699573,-1.936586
"ME_F_3","14-1",0.7961464,0.03236095,0.03901185,0.009952545,-0.001405069,-0.002629198,0.001076097,-2.283124,1.699558,-1.936552
"ME_F_3","14-1",0.8125801,0.0579403,-0.05718908,0.01913161,-0.0007631304,-0.002292424,0.001368908,-2.283117,1.699559,-1.936486
"ME_F_3","14-1",0.8300781,0.04180541,-0.004002361,-0.01015917,-0.0002969079,-0.002331783,0.001408247,-2.283123,1.699569,-1.936449
"ME_F_3","14-1",0.8381042,0.05303181,0.009734537,-0.01277412,0.0003303978,-0.002458702,0.00122512,-2.2831,1.699474,-1.936443
"ME_F_3","14-1",0.8522081,0.1048323,-0.03785217,-0.03086966,0.001148175,-0.002676457,0.001089062,-2.28304,1.699358,-1.93644
"ME_F_3","14-1",0.8730392,0.06260543,-0.02193654,0.003355004,0.00250027,-0.002697913,0.0008542311,-2.282944,1.699348,-1.936434
"ME_F_3","14-1",0.8825397,0.005783382,0.029618,0.02076768,0.003184988,-0.002488222,0.0007788443,-2.282879,1.699357,-1.936413
"ME_F_3","14-1",0.8936062,0.04360534,0.03204969,-0.007528128,0.003581622,-0.002363869,0.001070649,-2.282788,1.699365,-1.936396
"ME_F_3","14-1",0.9114141,0.0694876,0.03767643,-0.04128968,0.004296116,-0.002332388,0.001037687,-2.282667,1.699318,-1.9364
"ME_F_3","14-1",0.9286947,0.01284358,0.00201078,-0.008390556,0.005169949,-0.002283717,0.0008570431,-2.282553,1.699267,-1.936388
"ME_F_3","14-1",0.9381399,0.02456415,-0.02836775,0.0014921,0.005523592,-0.001926639,0.000773961,-2.282461,1.699274,-1.936363
"ME_F_3","14-1",0.94977,0.008613724,0.001537088,0.01467436,0.005711362,-0.001942924,0.0008627505,-2.282372,1.699283,-1.936337
"ME_F_3","14-1",0.9632063,0.04388738,0.004822034,-0.04062512,0.00586632,-0.001621483,0.0007137773,-2.282267,1.69929,-1.93634
"ME_F_3","14-1",0.9842196,-0.02540093,-0.02692785,0.01573623,0.005788039,-0.001790711,0.0006259198,-2.282221,1.699198,-1.936322
"ME_F_3","14-1",0.9934568,0.006560981,0.001836486,-0.02445695,0.005696611,-0.00191401,0.0005448333,-2.282142,1.699167,-1.936333
