"ID","file","Time_s_","Acc_x","Acc_y","Acc_z","Velo_x","Velo_y","Velo_z","Pos_x","Pos_y","Pos_z"
"ME_M_4","5-1",0.5122128,-0.03840041,-0.04264738,0.04319198,0.004497326,0.003146318,-0.003214043,-0.02284804,1.854238,-0.07956547
"ME_M_4","5-1",0.5316248,-0.03879353,-0.04495724,0.06583155,0.003928784,0.002407595,-0.002337597,-0.02282152,1.854248,-0.07956022
"ME_M_4","5-1",0.5410776,0.01445266,-0.02953904,0.03681633,0.003889843,0.002010336,-0.001785277,-0.02275106,1.854264,-0.07956594
"ME_M_4","5-1",0.5535545,0.002924979,-0.06186752,0.05348947,0.00366678,0.001612044,-0.001138481,-0.02272564,1.854285,-0.07954454
"ME_M_4","5-1",0.5676613,-0.001163838,-0.05396409,0.0735197,0.003404212,0.0009608078,-0.0002002703,-0.02269676,1.854281,-0.07950145
"ME_M_4","5-1",0.5838566,-0.06106352,-0.0002731355,0.08023231,0.002776505,0.0002298364,0.001174299,-0.02269652,1.854259,-0.07941902
"ME_M_4","5-1",0.6015244,-0.02813888,-0.1080293,0.1222924,0.002500957,-0.0001401902,0.002437563,-0.02266535,1.854258,-0.07932502
"ME_M_4","5-1",0.6091509,-0.02863056,-0.06641656,0.1342371,0.002232424,-0.000431756,0.003731242,-0.0226284,1.854261,-0.07921082
"ME_M_4","5-1",0.6231852,-0.001638534,-0.09530438,0.1087082,0.001651285,-0.001012624,0.005428389,-0.0226177,1.854236,-0.07905012
"ME_M_4","5-1",0.6437893,-0.01136112,-0.07747299,0.08273899,0.001246156,-0.002076044,0.007504356,-0.02259281,1.85419,-0.07887059
"ME_M_4","5-1",0.6529293,-0.005734294,-0.08705878,0.0796821,0.001332565,-0.002809594,0.008240972,-0.02257106,1.854111,-0.07871985
"ME_M_4","5-1",0.6651411,-0.003650479,-0.08018299,0.04891164,0.001215453,-0.003499213,0.008927994,-0.02254915,1.854034,-0.07856494
"ME_M_4","5-1",0.6787624,-0.01012143,-0.07245227,0.02747247,0.001212681,-0.00420492,0.009308403,-0.02250889,1.853946,-0.07842201
"ME_M_4","5-1",0.698801,-0.009069565,-0.01286915,0.01199477,0.0007509188,-0.004591058,0.009579673,-0.02252913,1.853866,-0.07827067
"ME_M_4","5-1",0.7087402,-0.04018753,0.008818781,0.01501839,0.0006149702,-0.00448131,0.009559259,-0.02254108,1.853795,-0.07812816
"ME_M_4","5-1",0.7252769,-0.020145,0.009549382,0.007396172,6.018137E-05,-0.003930337,0.009400084,-0.02258086,1.853766,-0.078004
"ME_M_4","5-1",0.7344522,-0.01855187,0.01743011,-0.03710535,-1.125562E-05,-0.003751666,0.009161211,-0.02257916,1.853729,-0.07790089
"ME_M_4","5-1",0.7505665,-0.006142214,-0.03613283,-0.05885877,-0.000393695,-0.00391733,0.008679928,-0.02260289,1.853674,-0.07782251
"ME_M_4","5-1",0.7643089,-0.03155573,-0.0203521,-0.02801296,-0.0006645904,-0.003891494,0.008144282,-0.02263561,1.853636,-0.0777511
"ME_M_4","5-1",0.7763529,0.0364932,-0.03506615,-0.0574858,-0.0006355902,-0.004217522,0.007606116,-0.02261841,1.853564,-0.07769918
"ME_M_4","5-1",0.7937708,0.007060778,-0.08103886,-0.02708865,-0.0004877881,-0.004766305,0.00699341,-0.0226275,1.85347,-0.07764328
"ME_M_4","5-1",0.8109179,0.009884971,-0.0341365,-0.02380269,-0.0004070103,-0.00510433,0.006606027,-0.02263269,1.853428,-0.07758886
"ME_M_4","5-1",0.8200417,0.02675712,-0.03730211,-0.02756744,-0.0004847972,-0.005311233,0.006533711,-0.02264014,1.853366,-0.07751149
"ME_M_4","5-1",0.832428,-0.0208017,-0.03932507,0.01385686,-0.0003206041,-0.005762786,0.00635488,-0.02264288,1.853286,-0.07742512
"ME_M_4","5-1",0.8461857,-0.05463431,-0.07162368,-0.01527585,-0.0007913575,-0.006232105,0.006404691,-0.02266446,1.853196,-0.07732707
"ME_M_4","5-1",0.8664064,-0.04885967,-0.1024602,0.02278004,-0.001492535,-0.006886365,0.006511858,-0.02270997,1.853084,-0.07722533
"ME_M_4","5-1",0.875598,0.07695995,-0.005190738,-0.000393087,-0.001574108,-0.007195268,0.006644217,-0.0227249,1.852969,-0.07712102
"ME_M_4","5-1",0.887929,0.1218613,0.07834269,0.008323069,-0.0004605953,-0.006755445,0.006742559,-0.02270094,1.852887,-0.07699871
"ME_M_4","5-1",0.9015074,0.129306,0.07499861,0.03898325,0.0004436445,-0.005097696,0.007209573,-0.02265999,1.852892,-0.07685786
"ME_M_4","5-1",0.9180889,-0.07942335,0.06863564,0.07902503,0.0006348037,-0.003448026,0.008290487,-0.02266297,1.852939,-0.07667464
"ME_M_4","5-1",0.9354229,-0.08609682,0.0747996,0.04886933,8.99795E-05,-0.00203683,0.008628923,-0.02265421,1.852999,-0.07655895
"ME_M_4","5-1",0.943367,-0.09303959,0.1229489,0.007994588,-0.0008205721,-0.0006337858,0.008841038,-0.02269804,1.853068,-0.07643467
"ME_M_4","5-1",0.9574394,-0.01541891,0.05553536,0.02877045,-0.001210564,0.0005718135,0.00922431,-0.0227181,1.853128,-0.07629114
"ME_M_4","5-1",0.9736099,0.008970115,0.02389336,-0.006769947,-0.001287469,0.001618646,0.009358417,-0.02275974,1.853245,-0.07614195
"ME_M_4","5-1",0.9869633,0.03976342,0.01322388,-0.006004598,-0.001126005,0.001609066,0.009503354,-0.02276635,1.853298,-0.07600296
